,0,1,2,3
64,0.12024,0.10974,0.0136955,0.0166574
65,0.015,0.00201,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.00297,0.0,0.00021779999999999998
79,0.00325,0.01559,0.028420400000000002,0.0865941
80,0.02606,0.05244,0.126853,0.25727839999999996
81,0.06038,0.10265,0.3336691,0.40343130000000005
82,0.04163,0.06347,0.4467624,0.49894869999999997
83,0.00424,0.00721,0.4793806,0.40763330000000003
84,0.03761,0.05165,0.44919869999999995,0.3816808
85,0.079,0.10577,0.3674425,0.3751982
86,0.00695,0.01045,0.36275389999999996,0.1295065
87,0.01521,0.01998,0.2204186,0.1000861
88,0.00749,0.0082,0.0464307,0.0138502
89,0.01409,0.00202,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.00252,0.00025679999999999995,0.0012721
103,0.00571,0.0241,0.0652344,0.0920005
104,0.02919,0.05204,0.23062100000000002,0.2630599
105,0.0366,0.05408,0.39228660000000004,0.3992355
106,0.05938,0.08396,0.5134663,0.5002144000000001
107,0.05243,0.06788,0.5790595,0.46058679999999996
108,0.08675,0.10709,0.5788107,0.5320605
109,0.00881,0.0115,0.5117033,0.3961489
110,0.05013,0.05827,0.3919813,0.2778678
111,0.04933,0.05257,0.2365171,0.1714136
112,0.02795,0.02372,0.0624158,0.0196949
113,0.0168,0.00266,0.000714,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.0,0.00211,0.0002028,0.0
127,0.01468,0.08078,0.0672299,0.08580070000000001
128,0.17129,0.31677,0.24632300000000001,0.2546881
129,0.38969,0.55868,0.4065401,0.40108350000000004
130,0.42401,0.61263,0.52532,0.4903049
131,0.41755,0.60992,0.5894607,0.5279946
132,0.44519,0.61952,0.5858836,0.5178172
133,0.54215,0.6597,0.4770583,0.4548547
134,0.40994,0.495,0.3608053,0.3343706
135,0.33103,0.34938,0.24295760000000002,0.15870150000000002
136,0.19484,0.15521,0.0847947,0.0161574
137,0.01728,0.00291,0.0006988999999999999,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
