,0
1243,1078.14
1244,764.56
1245,601.09
1246,619.8
1247,343.93
1248,405.96
1249,245.95
1250,191.21
1251,196.41
1252,244.25
1253,272.09
1254,497.03
1255,565.19
1256,461.27
1257,607.44
1258,452.78
1259,425.41
1260,372.06
1261,436.85
1262,494.58
1263,281.29
1264,359.36
1265,666.41
1266,773.95
1267,1073.64
1268,987.68
1269,757.8
1270,549.65
1271,570.23
1272,230.5
1273,361.53
1274,191.97
1275,174.02
1276,227.54
1277,308.99
1278,506.8
1279,456.82
1280,658.02
1281,641.14
1282,588.73
1283,499.52
1284,559.81
1285,387.19
1286,429.72
1287,259.32
1288,615.64
1289,940.04
1290,906.75
1291,898.83
1292,946.57
1293,810.38
1294,713.56
1295,354.11
1296,371.64
1297,295.45
1298,140.85
1299,157.24
1300,257.73
1301,299.8
1302,514.8
1303,498.64
1304,708.64
1305,695.19
1306,650.34
1307,634.27
1308,332.83
1309,533.8
1310,307.23
1311,452.33
1312,594.57
1313,898.42
1314,841.16
1315,1326.27
1316,1160.49
1317,909.56
1318,687.52
1319,649.02
1320,351.83
1321,133.11
1322,139.41
1323,178.38
1324,207.37
1325,377.83
1326,426.02
1327,522.56
1328,323.21
1329,519.76
1330,523.81
1331,505.37
1332,685.64
1333,309.6
1334,393.25
1335,285.75
1336,632.18
1337,703.23
1338,643.07
1339,1094.74
1340,969.64
1341,919.91
1342,465.16
1343,537.23
1344,322.21
1345,211.11
1346,143.11
1347,178.82
1348,309.27
1349,354.58
1350,500.81
1351,573.81
1352,633.63
1353,709.19
1354,679.59
1355,690.7
1356,498.04
1357,336.6
1358,336.55
1359,369.81
1360,559.7
1361,836.35
1362,963.21
1363,970.33
1364,1205.28
1365,798.92
1366,582.72
1367,528.86
1368,399.79
1369,323.53
1370,181.55
1371,140.91
1372,252.69
1373,420.88
1374,364.08
1375,431.6
1376,466.76
1377,767.88
1378,439.95
1379,546.09
1380,571.6
1381,425.17
1382,401.24
1383,300.34
1384,520.18
1385,907.05
1386,779.52
1387,1119.99
1388,785.66
1389,813.18
1390,720.75
1391,398.64
1392,369.8
1393,248.55
1394,197.8
1395,156.94
1396,260.49
1397,439.61
1398,412.35
1399,460.65
1400,664.12
1401,507.9
1402,512.63
1403,580.95
1404,546.09
1405,533.89
1406,329.69
1407,424.54
1408,573.61
1409,816.87
1410,1017.89
1411,795.67
1412,898.53
1413,806.57
1414,710.7
1415,505.13
1416,299.71
1417,194.25
1418,136.94
1419,219.55
1420,219.11
1421,199.68
1422,341.12
1423,551.62
1424,507.93
1425,551.32
1426,617.43
1427,513.36
1428,495.57
1429,270.02
1430,399.31
1431,339.81
1432,618.12
1433,702.7
1434,882.63
1435,1142.3
1436,656.35
1437,890.86
