,0
1160,8350712
1161,8546467
1162,8796824
1163,9102507
1164,9548221
1165,9930486
1166,10107904
1167,10282335
1168,10538979
1169,10797245
1170,10864583
1171,10970959
1172,11031637
1173,11092282
1174,11103986
1175,11170984
1176,11106966
1177,11078302
1178,11016195
1179,10877841
1180,10682335
1181,10715342
1182,10643307
1183,10670502
1184,10609679
1185,10649210
1186,10654994
1187,10389282
1188,10209932
1189,10197807
1190,10258221
1191,10338430
1192,10347207
1193,10409738
1194,10418978
1195,10394256
1196,10309446
1197,10330792
1198,10372061
1199,10499470
1200,10496999
1201,10484251
1202,10569376
1203,10643158
1204,10717416
1205,10718917
1206,10810095
1207,11073988
1208,11569669
1209,11810124
1210,12017408
1211,11942639
1212,11887441
1213,11797241
1214,11677917
1215,11556546
1216,11310904
1217,11134938
1218,11016637
1219,10897148
1220,10688533
1221,10475503
1222,10362699
1223,10208659
1224,10040454
1225,9845992
1226,9771192
1227,9980861
1228,10205626
1229,10306575
1230,10269169
1231,10337971
1232,10215959
1233,10009760
1234,9802221
1235,9454597
1236,9303431
1237,9158000
1238,9041798
1239,8847555
1240,8766971
1241,8726637
1242,8657969
1243,8561043
1244,8449332
1245,8364921
1246,8327213
1247,8268359
1248,8189190
1249,8241692
1250,8238313
1251,8248279
1252,8360676
1253,8403177
1254,8589514
1255,8707078
1256,8928402
1257,9049693
1258,9424257
1259,9774402
1260,10183065
1261,10339488
1262,10513731
1263,10824339
1264,11053752
1265,11113498
1266,11170625
1267,11278741
1268,11216070
1269,11212437
1270,11205710
1271,11240070
1272,11276918
1273,11280602
1274,11206671
1275,11137554
1276,11209667
1277,11232610
1278,11269275
1279,11329465
1280,11394248
1281,11312899
1282,11199179
1283,11050735
1284,11081470
1285,11090999
1286,11030738
1287,11079843
1288,11149692
1289,11120327
1290,11053690
1291,10979381
1292,11026048
1293,11008488
1294,11164748
1295,11131208
1296,11114370
1297,11140334
1298,11131579
1299,11181918
1300,11299285
1301,11442504
1302,11611900
1303,11927858
1304,12070908
1305,12284082
1306,12179594
1307,12094764
1308,12020879
1309,11942054
1310,11786203
1311,11587992
1312,11407893
1313,11271372
1314,11124680
1315,11008561
1316,10789526
1317,10614802
1318,10568746
1319,10406363
1320,10237947
1321,10016289
1322,10297104
1323,10589931
1324,10655959
1325,10550360
1326,10619382
1327,10547997
1328,10273070
1329,10049720
1330,9791259
1331,9647244
1332,9402710
1333,9321553
1334,9277937
1335,9176443
1336,9097135
1337,8968952
1338,8903826
1339,8811826
1340,8750244
1341,8727628
1342,8565243
1343,8615622
1344,8571702
1345,8653009
1346,8621008
1347,8639539
1348,8860525
1349,8822074
1350,9029497
1351,9158924
1352,9317114
1353,9605646
1354,9867047
1355,10130373
1356,10352887
1357,10482907
1358,10815917
1359,11068508
1360,11027112
1361,11270507
1362,11314453
1363,11337912
1364,11239364
1365,11347176
1366,11242488
1367,11249569
1368,11355825
1369,11261289
1370,11324829
1371,11404694
1372,11354761
1373,11313367
1374,11445038
1375,11478369
1376,11522053
