,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN
271,0,0,0,0,0,0,0,4,1,0
272,0,0,0,0,0,0,0,4,1,0
273,0,0,0,0,0,0,0,4,1,0
274,0,0,0,0,0,0,0,4,1,0
275,0,0,0,0,0,0,0,4,1,0
276,0,0,0,0,0,0,0,0,2,0
277,0,0,0,0,0,0,0,4,2,0
278,0,0,0,0,0,0,0,4,2,0
279,0,0,0,0,0,0,0,1,3,0
280,0,0,0,0,0,0,0,4,3,0
281,0,0,0,0,0,0,0,0,3,0
282,0,0,0,0,0,0,0,4,3,0
283,0,0,0,0,0,0,0,4,3,0
284,0,0,0,0,0,0,0,2,4,0
285,0,0,0,0,0,0,0,2,4,0
286,0,0,0,0,0,0,0,2,4,0
287,0,0,0,0,0,0,0,2,4,0
288,0,0,0,0,0,0,0,2,3,0
289,0,0,0,0,0,0,0,4,3,0
290,0,0,0,0,0,0,0,4,3,0
291,0,0,0,0,0,0,0,4,3,0
292,0,0,0,0,0,0,0,4,2,0
293,0,0,0,0,0,0,0,4,2,0
294,0,0,0,0,0,0,0,3,2,0
295,0,0,0,0,0,0,0,3,1,0
296,0,0,0,0,0,0,0,4,1,0
297,0,0,0,0,0,0,0,2,1,0
298,0,0,0,0,0,0,0,2,1,0
299,0,0,0,0,0,0,0,4,3,0
300,0,0,0,0,0,0,0,0,3,0
301,0,0,0,0,0,0,0,4,3,0
302,0,0,0,0,0,0,0,4,3,0
303,0,0,0,0,0,0,0,0,3,0
304,0,0,0,0,0,0,0,0,3,0
305,0,0,0,0,0,0,0,0,3,0
306,0,0,0,0,0,0,0,0,4,0
307,0,0,0,0,0,0,0,0,4,0
308,0,0,0,0,0,0,0,0,4,0
309,0,0,0,0,0,0,0,0,3,0
310,0,0,0,0,0,0,0,0,3,0
311,0,0,0,0,0,0,0,0,2,0
312,0,0,0,0,0,0,0,0,2,0
313,0,0,0,0,0,0,0,0,2,0
314,0,0,0,0,0,0,0,0,2,0
315,0,0,0,0,0,0,0,0,2,0
316,1,0,0,0,0,0,0,4,1,0
317,1,0,0,0,0,0,0,4,1,0
318,1,0,0,0,0,0,0,4,1,0
319,1,0,0,0,0,0,0,4,0,0
320,1,0,0,0,0,0,0,4,0,0
321,1,0,0,0,0,0,0,4,0,0
322,1,0,0,0,0,0,0,4,0,0
323,1,0,0,0,0,0,0,4,0,0
324,1,0,0,0,0,0,0,4,0,0
325,1,0,0,0,0,0,0,4,0,0
326,1,0,0,0,0,0,0,4,0,0
327,1,0,0,0,0,0,0,4,0,0
328,1,0,0,0,0,0,0,4,0,0
329,1,0,0,0,0,0,0,4,0,0
