,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN,v1,v2
187,0,0,0,0,0,0,0,4,2,0,3,0
188,0,0,0,0,0,0,0,4,2,0,3,0
189,0,0,0,0,0,0,0,4,2,0,3,0
190,0,0,0,0,0,0,0,0,2,0,0,0
191,0,0,0,0,0,0,0,0,1,0,0,0
192,0,0,0,0,0,0,0,4,1,0,2,0
193,0,0,0,0,0,0,0,3,1,0,2,0
194,0,0,0,0,0,0,0,3,1,0,2,0
195,0,0,0,0,0,0,0,3,1,0,2,0
196,0,0,0,0,0,0,0,4,1,0,2,0
197,0,0,0,0,0,0,0,1,2,0,1,0
198,0,0,0,0,0,0,0,1,2,0,1,0
199,0,0,0,0,0,0,0,1,2,0,1,0
200,0,0,0,0,0,0,0,0,3,0,1,0
201,0,0,0,0,0,0,0,0,3,0,1,0
202,0,0,0,0,0,0,0,0,3,0,1,0
203,0,0,0,0,0,0,0,4,3,0,4,0
204,0,0,0,0,0,0,0,0,3,0,1,0
205,0,0,0,0,0,0,0,0,4,0,2,0
206,0,0,0,0,0,0,0,0,4,0,2,0
207,0,0,0,0,0,0,0,4,4,0,4,0
208,0,0,0,0,0,0,0,4,4,0,4,0
209,0,0,0,0,0,0,0,2,3,0,2,0
210,0,0,0,0,0,0,0,2,3,0,2,0
211,0,0,0,0,0,0,0,2,3,0,2,0
212,0,0,0,0,0,0,0,2,3,0,2,0
213,0,0,0,0,0,0,0,4,2,0,3,0
214,0,0,0,0,0,0,0,4,2,0,3,0
215,0,0,0,0,0,0,0,4,2,0,3,0
216,0,0,0,0,0,0,0,4,1,0,2,0
217,0,0,0,0,0,0,0,3,1,0,2,0
218,0,0,0,0,0,0,0,2,1,0,1,0
219,0,0,0,0,0,0,0,2,1,0,1,0
220,0,0,0,0,0,0,0,2,3,0,2,0
221,0,0,0,0,0,0,0,0,3,0,1,0
222,0,0,0,0,0,0,0,1,3,0,2,0
223,0,0,0,0,0,0,0,1,3,0,2,0
224,0,0,0,0,0,0,0,1,3,0,2,0
225,0,0,0,0,0,0,0,1,3,0,2,0
226,0,0,0,0,0,0,0,1,3,0,2,0
227,0,0,0,0,0,0,0,1,4,0,2,0
228,0,0,0,0,0,0,0,1,4,0,2,0
229,0,0,0,0,0,0,0,1,4,0,2,0
230,0,0,0,0,0,0,0,1,3,0,2,0
231,0,0,0,0,0,0,0,1,3,0,2,0
232,0,0,0,0,0,0,0,1,2,0,1,0
233,0,0,0,0,0,0,0,1,2,0,1,0
234,0,0,0,0,0,0,0,1,2,0,1,0
235,0,0,0,0,0,0,0,1,2,0,1,0
236,0,0,0,0,0,0,0,1,2,0,1,0
237,0,0,0,0,0,0,0,2,1,0,1,0
238,0,0,0,0,0,0,0,2,1,0,1,0
239,0,0,0,0,0,0,0,2,1,0,1,0
240,0,0,0,0,0,0,0,4,2,0,3,0
241,0,0,0,0,0,0,0,4,2,0,3,0
242,0,0,0,0,0,0,0,1,1,0,0,0
243,0,0,0,0,0,0,0,4,1,0,2,0
244,0,0,0,0,0,0,0,4,1,0,2,0
245,0,0,0,0,0,0,0,4,1,0,2,0
246,0,0,0,0,0,0,0,4,1,0,2,0
247,0,0,0,0,0,0,0,4,1,0,2,0
248,0,0,0,0,0,0,0,0,1,0,0,0
249,0,0,0,0,0,0,0,0,1,0,0,0
250,0,0,0,0,0,0,0,0,1,0,0,0
251,0,0,0,0,0,0,0,0,1,0,0,0
252,0,0,0,0,0,0,0,2,1,0,1,0
253,0,0,0,0,0,0,0,2,1,0,1,0
254,0,0,0,0,0,0,0,2,2,0,2,0
255,0,0,0,0,0,0,0,4,2,0,3,0
256,0,0,0,0,0,0,0,4,3,0,4,0
257,0,0,0,0,0,0,0,4,3,0,4,0
258,0,0,0,0,0,0,0,0,3,0,1,0
259,0,0,0,0,0,0,0,0,3,0,1,0
260,0,0,0,0,0,0,0,0,3,0,1,0
261,0,0,0,0,0,0,0,0,3,0,1,0
262,0,0,0,0,0,0,0,0,3,0,1,0
263,0,0,0,0,0,0,0,4,3,0,4,0
264,0,0,0,0,0,0,0,4,2,0,3,0
265,0,0,0,0,0,0,0,4,2,0,3,0
266,0,0,0,0,0,0,0,4,2,0,3,0
267,0,0,0,0,0,0,0,3,2,0,2,0
268,0,0,0,0,0,0,0,1,2,0,1,0
269,0,0,0,0,0,0,0,4,2,0,3,0
270,0,0,0,0,0,0,0,3,1,0,2,0
271,0,0,0,0,0,0,0,4,1,0,2,0
272,0,0,0,0,0,0,0,4,1,0,2,0
273,0,0,0,0,0,0,0,4,1,0,2,0
274,0,0,0,0,0,0,0,4,1,0,2,0
275,0,0,0,0,0,0,0,4,1,0,2,0
276,0,0,0,0,0,0,0,0,2,0,0,0
277,0,0,0,0,0,0,0,4,2,0,3,0
278,0,0,0,0,0,0,0,4,2,0,3,0
279,0,0,0,0,0,0,0,1,3,0,2,0
280,0,0,0,0,0,0,0,4,3,0,4,0
281,0,0,0,0,0,0,0,0,3,0,1,0
282,0,0,0,0,0,0,0,4,3,0,4,0
283,0,0,0,0,0,0,0,4,3,0,4,0
284,0,0,0,0,0,0,0,2,4,0,3,0
285,0,0,0,0,0,0,0,2,4,0,3,0
286,0,0,0,0,0,0,0,2,4,0,3,0
287,0,0,0,0,0,0,0,2,4,0,3,0
288,0,0,0,0,0,0,0,2,3,0,2,0
289,0,0,0,0,0,0,0,4,3,0,4,0
290,0,0,0,0,0,0,0,4,3,0,4,0
291,0,0,0,0,0,0,0,4,3,0,4,0
292,0,0,0,0,0,0,0,4,2,0,3,0
293,0,0,0,0,0,0,0,4,2,0,3,0
294,0,0,0,0,0,0,0,3,2,0,2,0
295,0,0,0,0,0,0,0,3,1,0,2,0
296,0,0,0,0,0,0,0,4,1,0,2,0
297,0,0,0,0,0,0,0,2,1,0,1,0
298,0,0,0,0,0,0,0,2,1,0,1,0
299,0,0,0,0,0,0,0,4,3,0,4,0
300,0,0,0,0,0,0,0,0,3,0,1,0
301,0,0,0,0,0,0,0,4,3,0,4,0
302,0,0,0,0,0,0,0,4,3,0,4,0
303,0,0,0,0,0,0,0,0,3,0,1,0
304,0,0,0,0,0,0,0,0,3,0,1,0
305,0,0,0,0,0,0,0,0,3,0,1,0
306,0,0,0,0,0,0,0,0,4,0,2,0
307,0,0,0,0,0,0,0,0,4,0,2,0
308,0,0,0,0,0,0,0,0,4,0,2,0
309,0,0,0,0,0,0,0,0,3,0,1,0
310,0,0,0,0,0,0,0,0,3,0,1,0
311,0,0,0,0,0,0,0,0,2,0,0,0
312,0,0,0,0,0,0,0,0,2,0,0,0
313,0,0,0,0,0,0,0,0,2,0,0,0
314,0,0,0,0,0,0,0,0,2,0,0,0
315,0,0,0,0,0,0,0,0,2,0,0,0
316,1,0,0,0,0,0,0,4,1,0,3,0
317,1,0,0,0,0,0,0,4,1,0,3,0
318,1,0,0,0,0,0,0,4,1,0,3,0
319,1,0,0,0,0,0,0,4,0,0,2,0
320,1,0,0,0,0,0,0,4,0,0,2,0
321,1,0,0,0,0,0,0,4,0,0,2,0
322,1,0,0,0,0,0,0,4,0,0,2,0
323,1,0,0,0,0,0,0,4,0,0,2,0
324,1,0,0,0,0,0,0,4,0,0,2,0
325,1,0,0,0,0,0,0,4,0,0,2,0
326,1,0,0,0,0,0,0,4,0,0,2,0
327,1,0,0,0,0,0,0,4,0,0,2,0
328,1,0,0,0,0,0,0,4,0,0,2,0
329,1,0,0,0,0,0,0,4,0,0,2,0
330,1,0,0,0,0,0,0,4,0,0,2,0
331,1,0,0,0,0,0,0,4,0,0,2,0
332,1,0,0,0,0,0,0,4,0,0,2,0
333,1,0,0,0,0,0,0,4,0,0,2,0
334,1,0,0,0,0,0,0,4,0,0,2,0
335,1,0,0,0,0,0,0,4,1,0,3,0
336,1,0,0,0,0,0,0,4,1,0,3,0
337,1,0,0,0,0,0,0,4,0,0,2,0
338,1,0,0,0,0,0,0,4,0,0,2,0
339,1,0,0,0,0,0,0,4,0,0,2,0
340,1,0,0,0,0,0,0,4,1,0,3,0
341,1,0,0,0,0,0,0,4,1,0,3,0
342,1,0,0,0,0,0,0,4,1,0,3,0
343,3,0,0,0,0,0,0,4,1,0,4,0
344,3,0,0,0,0,0,0,4,1,0,4,0
345,3,0,0,0,0,0,0,4,0,0,4,0
346,3,0,0,0,0,0,0,4,0,0,4,0
347,1,0,0,0,0,0,0,4,0,0,2,0
348,1,0,0,0,0,0,0,4,0,0,2,0
349,1,0,0,0,0,0,0,4,0,0,2,0
350,1,0,0,0,0,0,0,4,0,0,2,0
351,1,0,0,0,0,0,0,4,0,0,2,0
352,1,0,0,0,0,0,0,4,0,0,2,0
353,1,0,0,0,0,0,0,4,0,0,2,0
354,1,0,0,0,0,0,0,4,0,0,2,0
355,1,0,0,0,0,0,0,4,0,0,2,0
356,1,0,0,0,0,0,0,4,0,0,2,0
357,1,0,0,0,0,0,0,4,0,0,2,0
358,1,0,0,0,0,0,0,4,1,0,3,0
359,1,0,0,0,0,0,0,4,0,0,2,0
360,1,0,0,0,0,0,0,4,0,0,2,0
361,1,0,0,0,0,0,0,4,2,0,4,0
362,1,0,0,0,0,0,0,4,2,0,4,0
363,1,0,0,0,0,0,0,4,3,0,4,0
364,1,0,0,0,0,0,0,4,2,0,4,0
365,1,0,0,0,0,0,0,4,2,0,4,0
366,1,0,0,0,0,0,0,4,1,0,3,0
367,1,0,0,0,0,0,0,4,1,0,3,0
368,1,0,0,0,0,0,0,4,0,0,2,0
369,1,0,0,0,0,0,0,4,0,0,2,0
370,1,0,0,0,0,0,0,4,0,0,2,0
371,1,0,0,0,0,0,0,2,0,0,1,0
372,1,0,0,0,0,0,0,4,0,0,2,0
373,1,0,0,0,0,0,0,4,0,0,2,0
374,1,0,0,0,0,0,0,4,0,0,2,0
375,1,0,0,0,0,0,0,2,0,0,1,0
376,1,0,0,0,0,0,0,4,0,0,2,0
